Question,Answer
What is the UK market value in case of damage to your car?,"The current value of your car at the time of the claim, which may differ from the amount you paid or provided when you insured your car."
Who is covered to drive other cars under this policy?,"Your certificate of motor insurance will show who has cover to drive other cars. This cover is only for injury to third parties or damage to their property, not the car being driven."
Am I covered if I leave my car unlocked or with keys in it?,"No, the policy won't pay for theft or attempted theft if the car is left unlocked, with keys or key fobs in, on, or attached to the car, with the engine running, or with a window or roof open."
What’s not included in my cover?,"The policy does not cover mechanical or electrical failure, wear and tear, damage to tyres caused by braking, punctures, cuts or bursts, and breakdowns (if the policy includes Green Flag breakdown, this may cover getting your car going again)."
Does Churchill have approved repairers?,"Yes, Churchill customers have access to a national network of approved repairers who will deal with all aspects of the repair."
What is DriveSure?,"DriveSure is a telematics insurance product designed to capture how, when, and where your car is driven, based on driver-monitoring technology. It allows the premium to be based on your driving record."
What’s the difference between commuting and business use?,"Business use provides cover for driving in connection with a business or employment, while commuting covers driving to and from a permanent place of work, including to and from a car park, railway station, or bus stop as part of the journey."
Can I use my car abroad?,"Yes, but your cover depends on the type of policy you have and where you’re driving. Full details are in ‘Where you can drive’. You may need a Green Card if traveling abroad."
Are my electric car’s charging cables covered?,"Yes, home charger and charging cables are considered an accessory to your car and are covered under 'Section 2: Fire and theft' or 'Section 4: Accidental damage'."
Is my electric car battery covered?,"Yes, your car’s battery is covered if it’s damaged as a result of an insured incident, whether the battery is owned or leased."
What should I do if I need to make a claim?,"You should contact the claims helpline with your personal details, policy number, car registration number, and a description of the loss or damage."
Who pays for the repairs to my car?,"If an approved repairer carries out the repairs, you do not need an estimate and will benefit from a 5-year guarantee on parts, materials, and workmanship provided by the approved repairer."
What if my car is written off?,"If your car is written off, the insurer will settle the claim, and the car will become their property. No refund on your premium if paid annually."
What is the excess?,"The excess is the amount you may have to pay towards a claim. Details can be found in your car insurance details."
What happens if my car keys are stolen?,"The policy covers the replacement of stolen car keys and the locks they fit, including any locksmith charges."
Does my policy cover windscreen damage?,"Yes, the policy covers the replacement or repair of accidentally broken glass in the windscreen, sunroof, or windows of your car."
What is included in personal benefits?,"Personal benefits include new car replacement, personal belongings cover, personal accident cover, medical expenses, and hotel expenses."
What does Motor Legal Cover provide?,"Motor Legal Cover provides cover for legal costs if you need to take legal action or defend yourself in court, up to £100,000 per claim."
What is Guaranteed Hire Car Plus?,"Guaranteed Hire Car Plus provides a hire car of a similar size to yours if your car is damaged, written off, or stolen."
How does Protected No Claim Discount work?,"Protected No Claim Discount allows the NCD owner to keep their No Claim Discount if they make a claim, unless more than 2 claims are made in 3 years."
Where can I drive my car under this policy?,"The policy covers driving within the territorial limits, which include Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man."
What losses are not covered?,"The policy does not cover loss or damage due to wear and tear, mechanical or electrical breakdown, or if the car is being used for a purpose not allowed by the policy."
What should I do if I have a complaint?,"You should contact the insurer's customer service to resolve any complaints."
How do I contact the insurer in case of an accident?,"You should contact the claims helpline and provide your personal details, policy number, car registration number, and a description of the incident."
What is the process for making a claim?,"Contact the claims helpline with your personal details, policy number, car registration number, and a description of the loss or damage."
What are the contact numbers for making a claim?,"The contact numbers for making a claim are provided in the policy booklet and should be stored in your phone for easy access."
What details are needed to make a claim?,"You need your personal details, policy number, car registration number, and a description of the loss or damage."
What if I need emergency medical treatment?,"The policy covers emergency medical treatment if it’s our responsibility under the Road Traffic Act."
What if someone else drives my car and causes an accident?,"The policy provides cover for legal liability if someone else drives your car with your permission and causes an accident."
What is covered under Section 1: Liability?,"Section 1 covers legal liability for injury or death to other people and damage to their property caused by an accident involving your car."
What is covered under Section 2: Fire and theft?,"Section 2 covers damage to your car caused by fire, lightning, explosion, theft, or attempted theft."
What is covered under Section 3: Courtesy car?,"Section 3 covers the provision of a courtesy car while your car is being repaired by an approved repairer."
What is covered under Section 4: Accidental damage?,"Section 4 covers damage to your car caused by an accident."
What is covered under Section 5: Windscreen damage?,"Section 5 covers the replacement or repair of accidentally broken glass in the windscreen, sunroof, or windows of your car."
What is covered under Section 6: Personal benefits?,"Section 6 covers new car replacement, personal belongings, personal accident, medical expenses, and hotel expenses."
What is covered under Section 7: Motor Legal Cover?,"Section 7 covers legal costs for taking legal action or defending yourself in court."
What is covered under Section 8: Guaranteed Hire Car Plus?,"Section 8 provides a hire car of a similar size to yours if your car is damaged, written off, or stolen."
What is covered under Section 9: Protected No Claim Discount?,"Section 9 allows the NCD owner to keep their No Claim Discount if they make a claim, unless more than 2 claims are made in 3 years."
What happens if I drive another car?,"The main driver may be covered for liability to others when driving another car if it’s specified on the certificate of motor insurance."
What is the cover for automated cars?,"The policy covers accidents caused by your automated car when it is lawfully driving itself on a road or other public place in Great Britain."
What are the conditions for making a claim?,"You must comply with all policy terms, take reasonable precautions to prevent a claim, and provide any information or documents requested."
What is the process for handling repairs?,"Repairs can be carried out by an approved repairer with a 5-year guarantee, or by a repairer of your choice with prior approval."
What are the exclusions for fire and theft coverage?,"The policy does not cover loss or damage if the car is left unlocked, keys are left in the car, or security devices are not operational."
What is the process for replacing a written-off car?,"If your car is written off, the insurer will settle the claim, and the car will become their property. The process involves settling any remaining balance if the car is on finance."
